instancia,tipo,n,m,obj_value,n_buckets,tiempo,buckets
00004-00000097.soc,soc,3,1216,0.8618421052692851,2,0.004660099977627397,"[[1, 2], [3]]"
00004-00000098.soc,soc,3,695,1.0402877697714423,1,0.006133399961981922,"[[1, 2, 3]]"
00004-00000099.soc,soc,3,383,0.9582245430721253,2,0.006111200025770813,"[[1, 3], [2]]"
00004-00000100.soc,soc,3,440,1.0363636363170703,2,0.0046110000112093985,"[[1, 2], [3]]"
00004-00000101.soc,soc,4,1256,2.1958598725195193,2,0.006267299992032349,"[[1, 2, 3], [4]]"
00004-00000102.soc,soc,4,382,2.3455497382747503,2,0.010239099967293441,"[[1], [2, 3, 4]]"
00004-00000103.soc,soc,4,411,2.299270072998366,2,0.012182499980553985,"[[1, 2, 3], [4]]"
00004-00000104.soc,soc,4,625,2.0016000001572074,2,0.010442600003443658,"[[1, 2, 4], [3]]"
00004-00000105.soc,soc,4,362,2.2817679557830957,2,0.006685099971946329,"[[1, 2], [3, 4]]"
00004-00000106.soc,soc,4,718,1.4373259053917078,2,0.009069999970961362,"[[1], [2, 3, 4]]"
00004-00000107.soc,soc,4,494,1.9716599190085449,2,0.013176300039049238,"[[1, 4], [2, 3]]"
00004-00000108.soc,soc,4,384,2.3177083331781136,3,0.016468399961013347,"[[1, 2], [3], [4]]"
00004-00000109.soc,soc,4,419,1.9069212409400944,2,0.015027099987491965,"[[1], [2, 3, 4]]"
00004-00000110.soc,soc,4,431,1.9651972156594963,3,0.007471100019756705,"[[1], [2], [3, 4]]"
00004-00000111.soc,soc,4,390,2.251282051243843,2,0.012761500023771077,"[[1, 3], [2, 4]]"
00004-00000112.soc,soc,4,473,2.1754756868628875,3,0.015595100005157292,"[[1], [2, 3], [4]]"
00004-00000113.soc,soc,4,422,2.298578199052133,1,0.01034320000326261,"[[1, 2, 3, 4]]"
00004-00000114.soc,soc,4,494,2.4210526316336205,1,0.011307800014037639,"[[1, 2, 3, 4]]"
00004-00000115.soc,soc,4,362,2.022099447560121,2,0.011230200005229563,"[[1, 3], [2, 4]]"
00004-00000116.soc,soc,4,387,1.4961240308302712,3,0.011078999959863722,"[[1, 3], [2], [4]]"
00004-00000117.soc,soc,4,518,2.0579150580741743,1,0.0068627999862656,"[[1, 2, 3, 4]]"
00004-00000118.soc,soc,4,1187,2.052232518906508,2,0.010526500002015382,"[[1, 4], [2, 3]]"
00004-00000119.soc,soc,4,389,1.061696657921118,2,0.006934499950148165,"[[1, 2, 4], [3]]"
00004-00000120.soc,soc,4,674,1.845697329456307,2,0.011213099991437048,"[[1, 2, 4], [3]]"
00004-00000121.soc,soc,4,472,2.237288135573489,2,0.012121700041461736,"[[1, 2, 4], [3]]"
00004-00000122.soc,soc,4,529,1.5633270320344352,2,0.01132679998409003,"[[1], [2, 3, 4]]"
00004-00000123.soc,soc,4,376,1.914893617080723,1,0.0064422000432386994,"[[1, 2, 3, 4]]"
00004-00000124.soc,soc,4,506,1.7905138339966964,2,0.010887299955356866,"[[1, 4], [2, 3]]"
00004-00000125.soc,soc,4,440,1.9909090909514235,2,0.011209400021471083,"[[1, 2], [3, 4]]"
00004-00000126.soc,soc,4,379,1.538258574939871,3,0.01166599994758144,"[[1, 2], [3], [4]]"
00004-00000127.soc,soc,4,379,1.778364116115874,1,0.010504400008358061,"[[1, 2, 3, 4]]"
00004-00000128.soc,soc,4,643,1.9331259719185927,3,0.011212099983822554,"[[1], [2, 4], [3]]"
00004-00000129.soc,soc,4,369,2.1951219511172937,2,0.006341299973428249,"[[1, 2], [3, 4]]"
00004-00000130.soc,soc,4,412,1.9902912620048139,2,0.013092299981508404,"[[1, 2, 3], [4]]"
00004-00000131.soc,soc,4,420,1.680952380905815,1,0.0052879000431858,"[[1, 2, 3, 4]]"
00004-00000132.soc,soc,4,363,0.9862258952815272,1,0.006353300006594509,"[[1, 2, 3, 4]]"
00004-00000133.soc,soc,4,525,1.9733333333333332,2,0.01124540000455454,"[[1, 4], [2, 3]]"
00004-00000134.soc,soc,4,357,2.1568627452284765,1,0.011817600054200739,"[[1, 2, 3, 4]]"
00004-00000135.soc,soc,4,447,1.2617449663653428,2,0.006769999978132546,"[[1, 4], [2, 3]]"
00004-00000136.soc,soc,4,403,1.8461538463624119,2,0.009155300038401037,"[[1, 3], [2, 4]]"
00004-00000137.soc,soc,4,373,2.048257372759647,1,0.010152400005608797,"[[1, 2, 3, 4]]"
