instancia,tipo,n,m,obj_value,n_buckets,tiempo,buckets
00068-00000439.soi,soi,7,15,5.5658730158730165,2,0.015627200016751885,"[[1, 6, 7], [2, 3, 4, 5]]"
00068-00000440.soi,soi,8,15,7.237734487734487,3,0.025307799922302365,"[[4, 5, 6, 8], [3], [1, 2, 7]]"
00068-00000441.soi,soi,5,21,0.8064935064935064,4,0.007010900066234171,"[[1], [5], [3, 4], [2]]"
00068-00000442.soi,soi,9,21,9.522869674185461,5,0.05155279999598861,"[[4, 5], [8], [1], [2, 3, 6, 9], [7]]"
00068-00000443.soi,soi,7,15,5.628571428571428,3,0.016277199960313737,"[[1, 2, 4, 6], [5], [3, 7]]"
00068-00000444.soi,soi,4,15,0.8444444443978782,3,0.009644099976867437,"[[4], [1, 3], [2]]"
00068-00000445.soi,soi,7,15,4.9282051282051285,5,0.01893949997611344,"[[6], [4], [3, 5], [2, 7], [1]]"
00068-00000446.soi,soi,8,15,10.843589743589744,5,0.046376400045119226,"[[3], [2], [7], [5], [1, 4, 6, 8]]"
00068-00000447.soi,soi,7,15,9.0515873015873,1,0.027099800063297153,"[[1, 2, 3, 4, 5, 6, 7]]"
00068-00000448.soi,soi,10,15,15.335470085470085,5,0.058423199923709035,"[[2], [3, 4, 5, 7, 8, 9], [1], [10], [6]]"
00068-00000449.soi,soi,6,15,6.15,3,0.01533620001282543,"[[1, 2, 3, 5], [6], [4]]"
00068-00000450.soi,soi,10,15,17.48205128205128,3,0.5445843000197783,"[[3, 4, 5, 7], [2, 8, 9, 10], [1, 6]]"
00068-00000451.soi,soi,10,21,11.828021978021976,5,0.11432329996023327,"[[4], [5], [2, 3, 6, 7, 8, 9], [1], [10]]"
00068-00000452.soi,soi,5,15,3.076923076923076,2,0.015366500010713935,"[[2, 3, 5], [1, 4]]"
00068-00000453.soi,soi,11,21,17.491363211951438,4,0.358726300066337,"[[4, 10], [9, 11], [1, 2, 3, 5, 6, 7], [8]]"
00068-00000454.soi,soi,9,23,7.77203334423014,6,0.04548089997842908,"[[9], [4], [2], [1, 5, 6, 8], [7], [3]]"
00068-00000455.soi,soi,7,15,5.795238095238094,3,0.02600529999472201,"[[4, 5, 6, 7], [1, 2], [3]]"
00068-00000456.soi,soi,10,15,11.083333333333332,3,0.040968800080008805,"[[1, 2, 9], [4, 5, 6, 7, 8, 10], [3]]"
00068-00000457.soi,soi,5,15,4.18964368964369,2,0.015523499925620854,"[[2], [1, 3, 4, 5]]"
00068-00000458.soi,soi,7,21,3.3509803921568633,4,0.020227200002409518,"[[1, 3], [7], [6], [2, 4, 5]]"
00068-00000459.soi,soi,5,15,3.8653846153846154,3,0.012228699983097613,"[[1, 2], [4, 5], [3]]"
00068-00000460.soi,soi,11,15,18.661971361971368,4,0.821248900028877,"[[10], [3, 8], [1, 7], [2, 4, 5, 6, 9, 11]]"
00068-00000461.soi,soi,6,15,4.893106893106893,3,0.016315000015310943,"[[1], [3, 6], [2, 4, 5]]"
00068-00000462.soi,soi,6,15,5.722222222222222,3,0.011429400066845119,"[[1, 3, 4], [6], [2, 5]]"
00068-00000463.soi,soi,7,21,3.932683982683982,4,0.015625500003807247,"[[3, 7], [1, 2], [4, 5], [6]]"
00068-00000464.soi,soi,6,15,3.907936507936508,3,0.015504199895076454,"[[2, 3, 4, 5], [1], [6]]"
00068-00000465.soi,soi,4,15,1.882905982983593,1,0.005675400025211275,"[[1, 2, 3, 4]]"
00068-00000466.soi,soi,8,15,12.036496836496836,5,0.38282010005787015,"[[2], [3, 4, 7, 8], [1], [5], [6]]"
00068-00000467.soi,soi,8,15,7.096830946830947,5,0.027382200001738966,"[[4], [5], [7], [2, 3, 6, 8], [1]]"
00068-00000468.soi,soi,12,15,21.146969696969695,4,0.5781588000245392,"[[3], [2, 5, 6, 7, 10, 11, 12], [4, 8], [1, 9]]"
00068-00000469.soi,soi,8,15,9.531024531024531,2,0.04045380000025034,"[[3, 6, 7, 8], [1, 2, 4, 5]]"
00068-00000470.soi,soi,6,15,4.360606060606061,4,0.010511099942959845,"[[3, 5], [2, 4], [6], [1]]"
00068-00000471.soi,soi,10,15,18.030303030303028,3,0.11624140001367778,"[[3], [1, 4, 5, 6, 7, 8, 9], [2, 10]]"
00068-00000472.soi,soi,10,21,11.321572871572872,7,0.051711800042539835,"[[1], [9], [3, 5, 6], [4], [8, 10], [2], [7]]"
00068-00000473.soi,soi,8,15,7.575757575757576,6,0.026423900038935244,"[[6], [3, 5], [2, 7], [4], [8], [1]]"
00068-00000474.soi,soi,12,15,25.302380952380954,2,2.475384099991061,"[[1, 2, 3, 4, 6, 8, 9, 10, 11, 12], [5, 7]]"
00068-00000475.soi,soi,9,15,11.028643578643578,3,0.04496500000823289,"[[3, 4, 9], [1, 2, 5, 8], [6, 7]]"
00068-00000476.soi,soi,10,15,15.02209457209457,3,0.5266794000053778,"[[2], [1, 3, 5, 6, 8, 9], [4, 7, 10]]"
00068-00000477.soi,soi,7,15,6.686202686202687,4,0.01685759995598346,"[[7], [2, 3, 4, 5], [1], [6]]"
00068-00000478.soi,soi,5,15,3.323809523809524,2,0.009522399981506169,"[[5], [1, 2, 3, 4]]"
