instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_norm,obj_value_ruido,obj_value_ruido_norm,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,distancia_entrada,distancia_salida,sensibilidad,buckets_original,buckets_ruido
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.05,1,15.380640297667247,0.13982400270606588,16.57113710966792,0.15064670099698108,2,2,0.11015849999967031,1.0,0.0,0.04449379198895311,0.0,0.0,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.1,1,15.380640297667247,0.13982400270606588,18.754845879011008,0.17049859890010008,2,2,0.3188986000022851,1.0,0.0,0.08438922580685529,0.0,0.0,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.2,1,15.380640297667247,0.13982400270606588,22.6989864770071,0.20635442251824637,2,5,0.2564481000008527,0.8401680504168059,0.059775098012413125,0.15703180534833247,0.09090909090909091,0.5789215166152726,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3], [9], [4], [11], [1, 2, 5, 6, 7, 8, 10]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.3,1,15.380640297667247,0.13982400270606588,24.61908958078289,0.22380990527984446,2,5,2.779833399996278,0.8401680504168059,0.059775098012413125,0.20736990307607817,0.09090909090909091,0.43839096011796336,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3], [9], [4], [11], [1, 2, 5, 6, 7, 8, 10]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.5,1,15.380640297667247,0.13982400270606588,26.81656953031065,0.24378699573009682,2,9,0.39387169999827165,0.47665633097823773,0.23614641780293133,0.26843193417376565,0.33636363636363636,1.2530686313421118,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[6, 9], [4], [1], [3], [8], [11], [5], [7], [2, 10]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.6,1,15.380640297667247,0.13982400270606588,26.535183803644827,0.24122894366949843,2,9,0.14579260000027716,0.47665633097823773,0.23614641780293133,0.29180066859086184,0.33636363636363636,1.1527171544464723,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[6, 9], [4], [1], [3], [8], [11], [5], [7], [2, 10]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.7,1,15.380640297667247,0.13982400270606588,26.253798076979002,0.2386708916089,2,9,0.08690729999216273,0.47665633097823773,0.23614641780293133,0.3151694030079581,0.33636363636363636,1.0672471158475467,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[6, 9], [4], [1], [3], [8], [11], [5], [7], [2, 10]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=1.0,1,15.380640297667247,0.13982400270606588,25.751917863362653,0.23410834421238774,2,10,0.09785049999481998,0.47222222222222227,0.24337363635315348,0.3544541441905142,0.34545454545454546,0.9746099773878464,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[6, 9], [4], [1], [3], [8], [11], [5], [7], [10], [2]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.0,2,15.380640297667247,0.13982400270606588,15.380640297667247,0.13982400270606588,2,2,0.09290380000311416,1.0,0.0,0.0,0.0,nan,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.05,2,15.380640297667247,0.13982400270606588,14.973115294653475,0.13611922995139522,2,2,0.13114449998829514,1.0,0.0,0.03902195337656642,0.0,0.0,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
